alpha,tau,x0_0,x0_1,x0_2,x0_3,x0_4,x0_5,x0_6,x0_7,x0_8,x0_9,x0_10,x0_11,x0_12,x0_13,x0_14,x0_15,x0_16,x0_17,x0_18,x0_19,x0_20,x0_21,x0_22,x0_23,x0_24,x0_25,x0_26,x0_27,x0_28,x0_29,x0_30,x0_31,x0_32,x0_33,x0_34,x0_35,x0_36,x0_37,x0_38,x0_39,x0_40,x0_41,x0_42,x0_43,x0_44,x0_45,x0_46,x0_47,x0_48,x0_49,x0_50,x0_51,x0_52,x0_53,x0_54,x0_55,x0_56,x0_57,x0_58,x0_59,x0_60,x0_61,x0_62,x0_63,x0_64,x0_65,x0_66,x0_67,x0_68,x0_69,x0_70,x0_71,x0_72,x0_73,x0_74,x0_75,x0_76,x0_77,x0_78,x0_79,x0_80,x0_81,x0_82,x0_83,x0_84,x0_85,x0_86,x0_87,x0_88,x0_89,x0_90,x0_91,x0_92,x0_93,x0_94,x0_95,x0_96,x0_97,x0_98,x0_99,x0_100,y0,val_x0,xopt_0,xopt_1,xopt_2,xopt_3,xopt_4,xopt_5,xopt_6,xopt_7,xopt_8,xopt_9,xopt_10,xopt_11,xopt_12,xopt_13,xopt_14,xopt_15,xopt_16,xopt_17,xopt_18,xopt_19,xopt_20,xopt_21,xopt_22,xopt_23,xopt_24,xopt_25,xopt_26,xopt_27,xopt_28,xopt_29,xopt_30,xopt_31,xopt_32,xopt_33,xopt_34,xopt_35,xopt_36,xopt_37,xopt_38,xopt_39,xopt_40,xopt_41,xopt_42,xopt_43,xopt_44,xopt_45,xopt_46,xopt_47,xopt_48,xopt_49,xopt_50,xopt_51,xopt_52,xopt_53,xopt_54,xopt_55,xopt_56,xopt_57,xopt_58,xopt_59,xopt_60,xopt_61,xopt_62,xopt_63,xopt_64,xopt_65,xopt_66,xopt_67,xopt_68,xopt_69,xopt_70,xopt_71,xopt_72,xopt_73,xopt_74,xopt_75,xopt_76,xopt_77,xopt_78,xopt_79,xopt_80,xopt_81,xopt_82,xopt_83,xopt_84,xopt_85,xopt_86,xopt_87,xopt_88,xopt_89,xopt_90,xopt_91,xopt_92,xopt_93,xopt_94,xopt_95,xopt_96,xopt_97,xopt_98,xopt_99,xopt_100,val_xopt,objective_value
0.5,0.5,1.0,0.19,0.33,0.02,0.9,0.12,0.17,0.34,0.47,0.29,0.32,0.2,1.0,0.37,0.72,0.34,0.6,0.29,0.15,0.43,0.39,0.4,0.39,0.32,0.27,0.27,0.36,0.41,0.08,0.19,0.1,0.18,0.48,0.27,0.68,0.23,0.41,0.25,0.52,0.68,0.4,0.75,0.75,0.35,0.55,0.59,0.61,0.56,0.74,0.76,0.04,0.14,0.03,0.24,0.27,0.37,0.39,0.07,0.07,0.08,0.08,0.89,0.06,0.14,0.13,0.33,0.39,0.28,0.55,0.09,0.51,0.5,0.21,0.71,0.52,0.05,0.26,0.65,0.14,0.06,0.22,0.19,0.18,0.36,0.35,0.38,0.34,0.38,0.46,0.25,0.04,0.0,0.12,0.42,0.5,0.51,0.64,0.12,0.26,0.2,0.32,0.8,0.8287044287958965,1.0,0.19,0.32999999999999996,0.02,0.9,0.12,0.17,0.34,0.47,0.2899999999999999,0.32,0.2,1.0,0.37,0.72,0.34,0.6,0.29,0.15,0.4299999999999998,0.39,0.4,0.39,0.31999999999999995,0.27,0.27,0.36,0.41,0.08,0.18999999999999972,0.1,0.18,0.48,0.27,0.68,0.22999999999999976,0.4099999999999998,0.25,0.52,0.68,0.4,0.75,0.75,0.35,0.55,0.59,0.61,0.56,0.74,0.76,0.039999999999999813,0.14,0.029999999999999805,0.24,0.27,0.37,0.39,0.06999999999999984,0.06999999999999984,0.08,0.07999999999999974,0.89,0.05999999999999983,0.14,0.13,0.33,0.39,0.28,0.55,0.09,0.51,0.5,0.21,0.71,0.52,0.05,0.26,0.65,0.14,0.05999999999999983,0.21999999999999975,0.19,0.18,0.36,0.35,0.38,0.34,0.38,0.45999999999999985,0.25,0.04,0.0,0.12,0.42,0.5,0.51,0.64,0.12,0.26,0.2,0.32,0.8287044287958962,0.0
0.5,0.5,1.0,0.0,0.16,0.12,0.74,0.45,0.07,0.26,0.59,0.35,0.27,0.02,1.0,0.31,0.72,0.11,0.45,0.25,0.29,0.39,0.29,0.37,0.38,0.33,0.16,0.3,0.22,0.35,0.01,0.24,0.14,0.24,0.3,0.27,0.73,0.57,0.15,0.42,0.36,1.0,0.63,0.91,1.0,0.29,0.43,0.47,0.6,0.39,0.46,0.53,0.0,0.24,0.01,0.52,0.62,0.64,0.63,0.25,0.27,0.25,0.23,0.84,0.1,0.16,0.1,0.17,0.29,0.17,0.26,0.2,0.82,0.0,0.02,0.79,0.24,0.02,0.25,0.65,0.16,0.0,0.21,0.2,0.21,0.42,0.38,0.4,0.37,0.29,0.32,0.18,0.0,0.0,0.21,0.5,0.34,0.6,0.52,0.02,0.12,0.45,0.0,0.32999999999999996,0.7173890697040307,1.0,0.0,0.1599999999999998,0.12,0.74,0.45,0.07,0.26,0.59,0.35,0.27,0.019999999999999796,1.0,0.30999999999999994,0.72,0.11,0.45,0.25,0.29,0.39,0.29,0.37,0.38,0.32999999999999996,0.1599999999999998,0.3,0.22,0.35,0.01,0.24,0.14,0.24,0.3,0.27,0.73,0.57,0.15,0.42,0.36,1.0,0.63,0.91,1.0,0.2899999999999999,0.43,0.47,0.6,0.39,0.46,0.53,0.0,0.24,0.009999999999999787,0.52,0.62,0.64,0.63,0.25,0.27,0.25,0.22999999999999976,0.84,0.1,0.16,0.1,0.17,0.2899999999999999,0.16999999999999982,0.26,0.2,0.82,0.0,0.02,0.79,0.24,0.02,0.25,0.65,0.16,0.0,0.20999999999999974,0.2,0.21,0.4199999999999998,0.38,0.4,0.37,0.29,0.32,0.18,0.0,0.0,0.21,0.5,0.34,0.6,0.52,0.02,0.12,0.45,0.0,0.7173890697040304,0.0
0.5,0.5,1.0,0.0,0.42,0.49,0.56,0.17,0.04,0.39,0.47,0.28,0.32,0.0,0.0,0.3,0.58,0.19,0.39,0.38,0.4,0.84,0.28,0.27,0.29,0.27,0.07,0.29,0.28,0.39,0.01,0.27,0.27,0.43,0.19,0.36,0.58,0.32,0.29,0.49,0.32,0.63,0.41,0.71,0.7,0.45,0.42,0.44,0.43,0.43,0.71,0.67,0.01,0.46,0.0,0.07,0.06,0.15,0.19,0.02,0.02,0.04,0.05,0.88,0.04,0.2,0.2,0.46,0.52,0.43,0.42,0.15,0.51,0.5,0.01,0.86,0.41,0.29,0.3,0.52,0.47,0.45,0.18,0.17,0.16,0.27,0.29,0.27,0.31,0.48,0.39,0.28,0.0,0.0,0.14,0.49,0.54,0.67,0.56,0.01,0.21,0.02,0.0,0.5700000000000001,0.6147379838579643,1.0,0.0,0.4199999999999998,0.49,0.56,0.16999999999999982,0.04,0.39,0.47,0.28,0.32,0.0,0.0,0.3,0.58,0.19,0.39,0.38,0.4,0.84,0.28,0.27,0.2899999999999999,0.27,0.06999999999999984,0.29,0.28,0.39,0.01,0.27,0.27,0.43,0.19,0.36,0.58,0.31999999999999995,0.2899999999999999,0.49,0.32,0.63,0.41,0.71,0.7,0.45,0.42,0.43999999999999984,0.4299999999999998,0.4299999999999998,0.71,0.67,0.009999999999999787,0.46,0.0,0.07,0.06,0.15,0.19,0.019999999999999796,0.019999999999999796,0.04,0.05,0.88,0.039999999999999813,0.2,0.2,0.46,0.52,0.4299999999999998,0.4199999999999998,0.15,0.51,0.5,0.01,0.86,0.41,0.29,0.3,0.52,0.47,0.45,0.17999999999999972,0.17,0.16,0.27,0.2899999999999999,0.27,0.31,0.48,0.39,0.28,0.0,0.0,0.14,0.49,0.54,0.67,0.56,0.01,0.21,0.02,0.0,0.6147379838579639,0.0
0.5,0.5,1.0,0.04,0.77,1.0,0.08,0.12,0.1,0.51,0.5,0.34,0.21,0.06,1.0,0.58,0.89,0.21,0.43,0.36,0.2,0.82,0.51,0.36,0.4,0.39,0.16,0.25,0.36,0.44,0.01,0.1,0.09,0.25,0.31,0.33,0.71,0.36,0.45,0.37,0.39,0.34,0.45,0.49,0.44,0.75,0.65,0.54,0.83,0.65,0.85,0.86,0.03,0.33,0.02,0.11,0.2,0.3,0.31,0.05,0.08,0.11,0.11,0.81,0.08,0.56,0.62,0.85,0.77,1.0,0.94,0.12,0.01,0.5,0.01,0.97,0.96,0.6,0.47,0.52,0.11,0.11,0.24,0.21,0.19,0.75,0.7,0.77,0.89,0.63,0.51,0.47,0.0,0.0,0.19,0.3,0.73,0.64,0.65,0.02,0.39,0.28,0.0,0.88,0.6818514989855496,1.0,0.04,0.77,1.0,0.07999999999999974,0.12,0.1,0.51,0.5,0.33999999999999997,0.21,0.05999999999999983,1.0,0.58,0.89,0.21,0.4299999999999998,0.36,0.2,0.82,0.51,0.36,0.4,0.39,0.1599999999999998,0.25,0.36,0.44,0.01,0.1,0.08999999999999975,0.25,0.31,0.33,0.71,0.36,0.45,0.37,0.39,0.34,0.45,0.49,0.43999999999999984,0.75,0.65,0.54,0.83,0.65,0.85,0.86,0.029999999999999805,0.33,0.019999999999999796,0.11,0.2,0.3,0.31,0.05,0.07999999999999974,0.11,0.10999999999999976,0.81,0.07999999999999974,0.56,0.62,0.85,0.77,1.0,0.94,0.12,0.01,0.5,0.01,0.97,0.96,0.6,0.47,0.52,0.11,0.10999999999999976,0.24,0.21,0.19,0.75,0.7,0.77,0.89,0.63,0.51,0.47,0.0,0.0,0.19,0.3,0.73,0.64,0.65,0.02,0.39,0.28,0.0,0.6818514989855493,0.0
0.5,0.5,1.0,0.01,0.55,0.02,0.95,0.09,0.05,0.38,0.38,0.23,0.36,0.02,0.9,0.5,0.72,0.16,0.68,0.44,0.11,0.71,0.46,0.43,0.41,0.28,0.0,0.74,0.51,0.48,0.0,0.06,0.25,0.3,0.33,0.12,0.65,0.67,0.38,0.42,0.46,0.22,0.27,0.2,0.21,0.51,0.91,0.91,0.89,0.85,0.4,0.6,0.0,0.06,0.0,0.03,0.07,0.2,0.27,0.01,0.02,0.04,0.05,0.88,0.05,0.16,0.19,0.59,0.6,0.37,0.89,0.02,0.19,0.5,0.01,0.89,0.87,0.04,0.55,0.73,0.05,0.14,0.31,0.31,0.3,0.4,0.36,0.38,0.38,0.22,0.51,0.21,0.0,0.0,0.11,0.72,0.64,0.61,0.53,0.04,0.09,0.02,0.0,0.97,1.0238391831901057,1.0,0.01,0.55,0.02,0.95,0.08999999999999975,0.05,0.38,0.38,0.22999999999999976,0.36,0.019999999999999796,0.9,0.5,0.72,0.16,0.68,0.44,0.11,0.71,0.46,0.43,0.4099999999999998,0.28,0.0,0.74,0.51,0.48,0.0,0.05999999999999983,0.25,0.3,0.33,0.12,0.65,0.67,0.38,0.42,0.46,0.22,0.27,0.2,0.20999999999999974,0.51,0.91,0.91,0.89,0.85,0.4,0.6,0.0,0.06,0.0,0.03,0.07,0.2,0.27,0.009999999999999787,0.019999999999999796,0.04,0.05,0.88,0.05,0.16,0.18999999999999972,0.59,0.6,0.37,0.89,0.02,0.19,0.5,0.01,0.89,0.87,0.04,0.55,0.73,0.05,0.14,0.30999999999999994,0.31,0.3,0.4,0.36,0.38,0.38,0.22,0.51,0.21,0.0,0.0,0.11,0.72,0.64,0.61,0.53,0.04,0.09,0.02,0.0,1.0238391831901055,0.0
0.5,0.5,1.0,0.02,0.28,0.06,0.54,1.0,0.25,0.31,0.48,0.27,0.37,0.04,1.0,0.52,0.68,0.2,0.61,0.28,0.15,0.25,0.62,0.72,0.76,0.77,0.28,0.52,0.48,0.6,0.01,0.12,0.13,0.12,0.8,0.1,0.65,0.19,0.77,0.06,0.91,0.49,0.57,0.61,0.58,0.44,0.62,0.69,0.87,0.53,0.3,0.43,0.0,0.11,0.04,0.3,0.35,0.43,0.47,0.5,0.5,0.56,0.57,0.45,0.28,0.25,0.19,0.29,0.53,0.18,0.39,0.26,0.73,0.0,0.02,0.84,0.3,0.16,0.28,0.25,0.02,0.05,0.94,1.0,1.0,0.67,0.63,0.68,0.62,0.47,0.59,0.11,0.0,0.0,0.7,0.42,0.49,0.73,0.64,0.01,0.58,0.1,0.0,0.86,0.7670158808542045,1.0,0.02,0.28,0.06,0.54,1.0,0.25,0.31,0.48,0.27,0.37,0.039999999999999813,1.0,0.52,0.68,0.2,0.61,0.28,0.15,0.25,0.62,0.72,0.76,0.77,0.28,0.52,0.48,0.6,0.01,0.12,0.13,0.12,0.8,0.1,0.65,0.18999999999999972,0.77,0.06,0.91,0.49,0.57,0.61,0.58,0.43999999999999984,0.62,0.69,0.87,0.53,0.3,0.4299999999999998,0.0,0.11,0.039999999999999813,0.3,0.35,0.4299999999999998,0.47,0.5,0.5,0.56,0.57,0.45,0.28,0.25,0.18999999999999972,0.29,0.53,0.17999999999999972,0.39,0.26,0.73,0.0,0.02,0.84,0.3,0.16,0.28,0.25,0.02,0.05,0.94,1.0,1.0,0.67,0.63,0.68,0.62,0.47,0.59,0.11,0.0,0.0,0.7,0.42,0.49,0.73,0.64,0.01,0.58,0.1,0.0,0.7670158808542042,0.0
0.5,0.5,1.0,0.01,0.39,0.0,0.98,0.06,0.02,0.3,0.37,0.23,0.6,0.02,0.81,0.42,0.5,0.23,0.68,0.61,0.21,0.54,0.43,0.47,0.44,0.4,0.24,0.86,0.24,0.36,0.01,0.11,0.29,0.41,0.36,0.28,0.54,0.44,0.53,0.33,0.49,0.25,0.34,0.28,0.28,0.42,0.77,0.81,0.79,0.74,0.57,0.62,0.0,0.13,0.01,0.0,0.02,0.02,0.1,0.0,0.01,0.01,0.03,0.73,0.05,0.12,0.13,0.42,0.54,0.24,0.65,0.03,0.46,0.5,0.01,0.89,0.57,0.09,0.49,0.38,0.05,0.05,0.37,0.38,0.39,0.26,0.35,0.42,0.35,0.46,0.44,0.31,0.0,0.0,0.15,0.81,0.77,0.91,0.84,0.05,0.08,0.06,0.0,0.97,0.9160226618804451,1.0,0.01,0.39,0.0,0.98,0.05999999999999983,0.02,0.3,0.37,0.22999999999999976,0.6,0.019999999999999796,0.81,0.4199999999999998,0.5,0.23,0.68,0.61,0.21,0.54,0.43,0.47,0.43999999999999984,0.4,0.24,0.86,0.24,0.36,0.01,0.10999999999999976,0.2899999999999999,0.41,0.36,0.28,0.54,0.43999999999999984,0.53,0.33,0.49,0.25,0.34,0.28,0.28,0.4199999999999998,0.77,0.81,0.79,0.74,0.57,0.62,0.0,0.13,0.009999999999999787,0.0,0.02,0.019999999999999796,0.1,0.0,0.009999999999999787,0.01,0.029999999999999805,0.73,0.05,0.12,0.13,0.42,0.54,0.24,0.65,0.03,0.46,0.5,0.01,0.89,0.57,0.09,0.49,0.38,0.05,0.05,0.37,0.38,0.39,0.26,0.35,0.4199999999999998,0.35,0.46,0.44,0.31,0.0,0.0,0.15,0.81,0.77,0.91,0.84,0.05,0.08,0.06,0.0,0.9160226618804449,0.0
0.5,0.5,1.0,0.01,0.74,0.03,0.46,0.2,1.0,0.52,0.55,0.36,0.35,0.0,0.0,0.16,0.44,1.0,0.23,0.53,0.97,0.41,0.15,0.1,0.12,0.08,0.17,0.27,0.18,0.21,0.03,0.64,0.96,0.82,0.12,1.0,0.26,0.43,0.34,0.71,0.18,0.38,0.47,0.59,0.52,0.78,0.45,0.43,0.34,0.34,0.29,0.27,0.02,0.5,0.02,0.5,0.59,0.65,0.59,0.69,0.72,0.71,0.6,0.12,0.93,0.74,0.75,0.8,0.68,0.92,0.39,0.89,0.66,0.0,0.01,0.91,0.46,0.22,0.37,0.6,0.28,0.23,0.15,0.13,0.13,0.21,0.24,0.25,0.24,0.64,0.59,0.28,0.0,0.0,0.59,0.58,0.52,0.79,0.78,0.01,0.33,0.0,0.0,0.44999999999999996,0.5531823107709568,1.0,0.01,0.74,0.03,0.45999999999999985,0.2,1.0,0.52,0.55,0.36,0.35,0.0,0.0,0.1599999999999998,0.43999999999999984,1.0,0.22999999999999976,0.53,0.97,0.4099999999999998,0.15,0.1,0.12,0.07999999999999974,0.16999999999999982,0.27,0.18,0.21,0.03,0.64,0.96,0.82,0.12,1.0,0.26,0.4299999999999998,0.33999999999999997,0.71,0.18,0.38,0.47,0.59,0.52,0.78,0.45,0.4299999999999998,0.33999999999999997,0.33999999999999997,0.29,0.27,0.019999999999999796,0.5,0.019999999999999796,0.5,0.59,0.65,0.59,0.69,0.72,0.71,0.6,0.12,0.93,0.74,0.75,0.8,0.68,0.92,0.39,0.89,0.66,0.0,0.01,0.91,0.46,0.22,0.37,0.6,0.28,0.22999999999999976,0.15,0.13,0.13,0.20999999999999974,0.24,0.25,0.24,0.64,0.59,0.28,0.0,0.0,0.59,0.58,0.52,0.79,0.78,0.01,0.33,0.0,0.0,0.5531823107709564,0.0
0.5,0.5,1.0,0.03,0.34,0.2,0.84,0.02,0.0,0.38,0.45,0.28,0.48,0.04,1.0,0.17,0.47,0.36,0.34,0.55,0.48,0.43,0.21,0.23,0.23,0.19,0.1,0.26,0.29,0.22,0.04,0.45,0.52,0.59,0.17,0.55,0.43,0.59,0.36,0.64,0.29,0.62,0.26,0.66,0.67,0.37,0.51,0.55,0.58,0.47,0.65,0.64,0.02,0.29,0.0,0.12,0.09,0.07,0.13,0.0,0.0,0.0,0.0,0.99,0.01,0.12,0.12,0.35,0.38,0.33,0.5,0.1,0.64,0.0,0.04,0.72,0.49,0.05,0.49,0.5,0.57,0.22,0.07,0.07,0.08,0.14,0.17,0.16,0.15,0.38,0.13,0.36,0.01,0.0,0.01,0.78,0.48,0.79,0.75,0.04,0.17,0.04,0.0,0.47,0.7617934840087517,1.0,0.03,0.33999999999999997,0.2,0.84,0.019999999999999796,0.0,0.38,0.45,0.28,0.48,0.039999999999999813,1.0,0.16999999999999982,0.47,0.36,0.33999999999999997,0.55,0.48,0.4299999999999998,0.21,0.23,0.22999999999999976,0.18999999999999972,0.1,0.26,0.29,0.22,0.04,0.45,0.52,0.59,0.17,0.55,0.43,0.59,0.36,0.64,0.29,0.62,0.26,0.66,0.67,0.37,0.51,0.55,0.58,0.47,0.65,0.64,0.019999999999999796,0.29,0.0,0.12,0.09,0.06999999999999984,0.13,0.0,0.0,0.0,0.0,0.99,0.009999999999999787,0.12,0.12,0.35,0.38,0.32999999999999996,0.5,0.1,0.64,0.0,0.04,0.72,0.49,0.05,0.49,0.5,0.57,0.21999999999999975,0.06999999999999984,0.07,0.08,0.14,0.16999999999999982,0.1599999999999998,0.15,0.38,0.13,0.36,0.01,0.0,0.01,0.78,0.48,0.79,0.75,0.04,0.17,0.04,0.0,0.7617934840087515,0.0
0.5,0.5,1.0,0.01,0.4,0.06,0.87,0.3,0.03,0.9,0.82,0.8,0.39,0.02,1.0,0.54,0.59,0.22,0.86,0.42,0.02,0.31,0.85,0.89,0.94,0.11,0.09,0.33,0.17,0.8,0.0,0.11,0.04,0.03,1.0,0.11,0.44,0.2,1.0,0.02,0.96,0.3,0.85,0.39,0.36,0.31,0.65,0.73,0.78,0.67,0.72,0.71,0.0,0.07,0.01,0.41,0.44,0.52,0.48,0.22,0.21,0.22,0.19,0.85,0.03,0.09,0.06,0.15,0.34,0.05,0.48,0.03,0.58,0.0,0.02,0.72,0.38,0.07,0.47,0.04,0.01,0.0,0.63,0.71,0.79,0.44,0.42,0.47,0.41,0.23,0.27,0.28,0.0,0.0,0.22,0.42,0.34,0.23,0.09,0.0,0.47,0.11,0.0,0.85,1.0041770920125332,1.0,0.01,0.4,0.06,0.87,0.3,0.03,0.9,0.82,0.8,0.39,0.019999999999999796,1.0,0.54,0.59,0.22,0.86,0.42,0.02,0.30999999999999994,0.85,0.89,0.94,0.10999999999999976,0.08999999999999975,0.33,0.17,0.8,0.0,0.10999999999999976,0.039999999999999813,0.03,1.0,0.11,0.44,0.2,1.0,0.02,0.96,0.3,0.85,0.39,0.36,0.30999999999999994,0.65,0.73,0.78,0.67,0.72,0.71,0.0,0.07,0.009999999999999787,0.41,0.44,0.52,0.48,0.21999999999999975,0.20999999999999974,0.22,0.18999999999999972,0.85,0.029999999999999805,0.09,0.05999999999999983,0.15,0.33999999999999997,0.05,0.48,0.03,0.58,0.0,0.02,0.72,0.38,0.07,0.47,0.039999999999999813,0.01,0.0,0.63,0.71,0.79,0.44,0.42,0.47,0.41,0.23,0.27,0.28,0.0,0.0,0.22,0.42,0.34,0.23,0.09,0.0,0.47,0.11,0.0,1.004177092012533,0.0
